"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","16","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","verifyOtpExistingUser_success","verifyOtpExistingUser_success()",""
"passed","Wed Feb 18 17:24:48 UTC 2026","Wed Feb 18 17:24:48 UTC 2026","3","","com.roomfinder.roomzy.utils.DistanceCalculatorTest","","com.roomfinder.roomzy.utils.DistanceCalculatorTest","shouldMapMultipleNearbyTransports","shouldMapMultipleNearbyTransports()",""
"passed","Wed Feb 18 17:24:33 UTC 2026","Wed Feb 18 17:24:35 UTC 2026","2105","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","testGetRefDataByTypeAndId_idNull_fail","testGetRefDataByTypeAndId_idNull_fail()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","8","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetSelectedAmenities_success","testGetSelectedAmenities_success()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","16","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testUpdateRoomListingNotFound_fail","testUpdateRoomListingNotFound_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","15","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","verifyOtpInvalidOtp_fail","verifyOtpInvalidOtp_fail()",""
"passed","Wed Feb 18 17:24:48 UTC 2026","Wed Feb 18 17:24:48 UTC 2026","4","","com.roomfinder.roomzy.utils.DistanceCalculatorTest","","com.roomfinder.roomzy.utils.DistanceCalculatorTest","shouldReturnZeroDistanceForSameCoordinates","shouldReturnZeroDistanceForSameCoordinates()",""
"passed","Wed Feb 18 17:24:35 UTC 2026","Wed Feb 18 17:24:35 UTC 2026","21","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","testGetRefDataByTypeAndId_success","testGetRefDataByTypeAndId_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","14","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBackOwnerNotFound_fail","testCreateCallBackOwnerNotFound_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","22","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testFindRoomById_success","testFindRoomById_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","16","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBackRequestedUserNotFound_fail","testCreateCallBackRequestedUserNotFound_fail()",""
